cmte_id,cand_id,cand_nm,contbr_city,contbr_st,contbr_zip,contb_receipt_amt,contb_receipt_dt,latlong
C00577130,P60007168,"Sanders, Bernard",LITTLETON,NH,035610272,100,13-AUG-15,"(44.33641069999999, -71.7850294)"
C00577130,P60007168,"Sanders, Bernard",NORTH HAMPTON,NH,038620580,100,26-AUG-15,"(42.98234410000001, -70.8238874)"
C00458844,P60006723,"Rubio, Marco",MANCHESTER,NH,031043319,10,15-APR-15,"(43.00885590000001, -71.4477469)"
C00577130,P60007168,"Sanders, Bernard",FRANCESTOWN,NH,030433822,10,18-AUG-15,"(42.9927468, -71.8334145)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037551225,100,02-AUG-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",DEERFIELD,NH,030371604,35,20-AUG-15,"(43.1233244, -71.263663)"
C00577130,P60007168,"Sanders, Bernard",NEWMARKET,NH,038572141,10,30-AUG-15,"(43.06325080000001, -70.9665682)"
C00458844,P60006723,"Rubio, Marco",MERIDEN,NH,037700292,250,18-MAY-15,"(43.524724, -72.26894740000002)"
C00577130,P60007168,"Sanders, Bernard",FARMINGTON,NH,038353921,5,21-AUG-15,"(43.3526526, -71.0735476)"
C00577130,P60007168,"Sanders, Bernard",DOVER,NH,03820,35,22-AUG-15,"(43.1819713, -70.89523369999999)"
C00577130,P60007168,"Sanders, Bernard",MONT VERNON,NH,030571911,123.14,25-AUG-15,"(42.9014583, -71.6792008)"
C00458844,P60006723,"Rubio, Marco",WEARE,NH,032815923,200,23-JUN-15,"(43.0900107, -71.7385225)"
C00577130,P60007168,"Sanders, Bernard",WEST LEBANON,NH,037841434,35,20-AUG-15,"(43.6227722, -72.3138748)"
C00577130,P60007168,"Sanders, Bernard",NASHUA,NH,030624740,100,20-AUG-15,"(42.7189172, -71.4893013)"
C00458844,P60006723,"Rubio, Marco",HANOVER,NH,037553905,1900,29-JUN-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",MOULTONBOROUGH,NH,032544537,300,19-AUG-15,"(43.7198979, -71.36693029999999)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037552211,10,07-AUG-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",SALISBURY,NH,032680161,200,10-AUG-15,"(43.38230859999999, -71.7503855)"
C00458844,P60006723,"Rubio, Marco",LEE,NH,038616541,100,21-APR-15,"(43.1088938, -71.014118)"
C00458844,P60006723,"Rubio, Marco",LEE,NH,038616541,25,20-MAY-15,"(43.1088938, -71.014118)"
C00458844,P60006723,"Rubio, Marco",LEE,NH,038616541,100,10-JUN-15,"(43.1088938, -71.014118)"
C00458844,P60006723,"Rubio, Marco",NASHUA,NH,030622860,500,04-MAY-15,"(42.7189172, -71.4893013)"
C00458844,P60006723,"Rubio, Marco",RYE,NH,038702248,2000,13-APR-15,"(42.9928394, -70.7763169)"
C00577130,P60007168,"Sanders, Bernard",HANCOCK,NH,034495500,100,16-AUG-15,"(42.9782657, -71.97569899999999)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037551538,50,12-AUG-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",NORTH HAMPTON,NH,038622117,5,14-AUG-15,"(42.98234410000001, -70.8238874)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,13-APR-15,"(42.9195921, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,13-APR-15,"(42.9195921, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,13-APR-15,"(42.9195921, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,14-APR-15,"(42.9195921, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,14-APR-15,"(42.9195921, -70.89523369999999)"
C00577130,P60007168,"Sanders, Bernard",ALTON,NH,038094528,250,14-AUG-15,"(43.414235, -71.2161428)"
C00458844,P60006723,"Rubio, Marco",WOLFEBORO,NH,038940029,50,15-MAY-15,"(43.5914415, -71.1611147)"
C00577130,P60007168,"Sanders, Bernard",LONDONDERRY,NH,030533395,24.34,25-AUG-15,"(42.8680259, -71.37569119999999)"
C00577130,P60007168,"Sanders, Bernard",DURHAM,NH,038244605,100,06-AUG-15,"(43.13396789999999, -70.9264635)"
C00577130,P60007168,"Sanders, Bernard",BETHLEHEM,NH,035740563,100,13-AUG-15,"(44.2782061, -71.6622795)"
C00458844,P60006723,"Rubio, Marco",WOLFEBORO,NH,038940029,25,23-JUN-15,"(43.5914415, -71.1611147)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,13-APR-15,"(42.9195921, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",BEDFORD,NH,031105610,500,13-APR-15,"(42.9457529, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",SUGAR HILL,NH,035860583,100,24-AUG-15,"(44.2153053, -71.7977016)"
